Personality type,Temperature (C),Spider Mass (mg),Survival (40 days),Day of Death,Egg Case
Aggressive,34,0.0061,0,12,.
Aggressive,24,0.0056,1,.,1
Aggressive,24,0.0066,1,.,1
Aggressive,24,0.0059,1,.,1
Aggressive,24,0.0056,1,.,1
Aggressive,24,0.007,1,.,1
Aggressive,24,0.0081,1,.,1
Aggressive,26,0.0056,1,.,1
Aggressive,26,0.0078,1,.,1
Aggressive,26,0.0069,1,.,1
Aggressive,26,0.0058,1,.,0
Aggressive,26,0.0059,1,.,0
Aggressive,26,0.0072,1,.,1
Aggressive,26,0.005,1,.,1
Aggressive,26,0.0097,1,.,1
Aggressive,26,0.0073,1,.,1
Aggressive,26,0.0081,1,.,1
Aggressive,26,0.0077,1,.,1
Aggressive,28,0.0082,1,.,1
Aggressive,28,0.0083,1,.,1
Aggressive,28,0.0087,1,.,0
Aggressive,28,0.0093,1,.,0
Aggressive,28,0.0071,1,.,0
Aggressive,28,0.0073,1,.,1
Aggressive,28,0.0091,1,.,1
Aggressive,28,0.0102,1,.,1
Aggressive,28,0.0076,1,.,0
Aggressive,28,0.0071,1,.,1
Aggressive,28,0.0085,1,.,1
Aggressive,30,0.0095,1,.,0
Aggressive,30,0.007,1,.,1
Aggressive,30,0.0071,1,.,1
Aggressive,30,0.0087,1,.,1
Aggressive,30,0.0056,1,.,0
Aggressive,30,0.0066,1,.,0
Aggressive,32,0.0084,1,.,0
Aggressive,32,0.008,1,.,0
Aggressive,34,0.0077,1,.,0
Aggressive,34,0.0077,1,.,0
Aggressive,34,0.0082,1,.,0
Docile,24,0.0049,0,26,.
Docile,24,0.0052,0,31,.
Docile,24,0.0062,0,26,.
Docile,24,0.0053,0,15,.
Docile,24,0.0059,0,21,.
Docile,24,0.0055,0,30,.
Docile,26,0.0072,0,31,.
Docile,26,0.0078,0,37,.
Docile,26,0.0061,0,12,.
Docile,26,0.008,0,21,.
Docile,28,0.0066,0,8,.
Docile,28,0.0062,0,4,.
Docile,28,0.0058,0,21,.
Docile,28,0.0067,0,26,.
Docile,30,0.0086,0,33,.
Docile,30,0.0069,0,30,.
Docile,30,0.0083,0,37,.
Docile,30,0.0065,0,21,.
Docile,30,0.0047,0,31,.
Docile,30,0.0062,0,11,.
Docile,32,0.0067,0,13,.
Docile,32,0.0066,0,16,.
Docile,32,0.0067,0,17,.
Docile,34,0.0066,0,13,.
Docile,34,0.0046,0,17,.
Docile,34,0.0063,0,14,.
Docile,24,0.0081,1,.,0
Docile,24,0.0061,1,.,0
Docile,24,0.0083,1,.,0
Docile,26,0.0058,1,.,0
Docile,26,0.0062,1,.,1
Docile,26,0.0066,1,.,0
Docile,26,0.0062,1,.,0
Docile,26,0.0067,1,.,1
Docile,26,0.0068,1,.,1
Docile,26,0.0078,1,.,0
Docile,26,0.0056,1,.,1
Docile,26,0.0058,1,.,1
Docile,26,0.0076,1,.,0
Docile,26,0.0087,1,.,1
Docile,26,0.0061,1,.,1
Docile,26,0.0068,1,.,0
Docile,26,0.0056,1,.,0
Docile,26,0.007,1,.,0
Docile,28,0.0055,1,.,0
Docile,28,0.0057,1,.,1
Docile,28,0.0058,1,.,0
Docile,28,0.0086,1,.,0
Docile,28,0.0069,1,.,0
Docile,28,0.0056,1,.,0
Docile,28,0.0078,1,.,1
Docile,28,0.0052,1,.,1
Docile,28,0.0058,1,.,0
Docile,28,0.0059,1,.,0
Docile,28,0.0067,1,.,0
Docile,28,0.0069,1,.,0
Docile,28,0.0067,1,.,1
Docile,28,0.0065,1,.,1
Docile,28,0.0066,1,.,0
Docile,30,0.0061,1,.,1
Docile,30,0.0078,1,.,1
Docile,30,0.008,1,.,0
Docile,30,0.005,1,.,1
Docile,30,0.008,1,.,1
Docile,30,0.0058,1,.,0
Docile,30,0.0062,1,.,1
Docile,30,0.0052,1,.,1
Docile,30,0.0055,1,.,1
Docile,30,0.008,1,.,1
Docile,30,0.0056,1,.,1
Docile,30,0.0086,1,.,1
Docile,30,0.0077,1,.,1
Docile,30,0.0059,1,.,0
Docile,30,0.0066,1,.,0
Docile,30,0.0062,1,.,0
Docile,32,0.0076,1,.,1
Docile,32,0.0063,1,.,0
Docile,32,0.0058,1,.,1
Docile,32,0.0062,1,.,1
Docile,32,0.0067,1,.,1
Docile,32,0.0058,1,.,1
Docile,32,0.0072,1,.,1
Docile,32,0.0078,1,.,0
Docile,32,0.0061,1,.,1
Docile,32,0.0067,1,.,1
Docile,32,0.0076,1,.,1
Docile,32,0.0067,1,.,0
Docile,32,0.0058,1,.,1
Docile,32,0.0091,1,.,1
Docile,32,0.0072,1,.,1
Docile,32,0.008,1,.,1
Docile,32,0.0058,1,.,1
Docile,32,0.0062,1,.,1
Docile,34,0.0058,1,.,1
Docile,34,0.008,1,.,0
Docile,34,0.0078,1,.,0
Docile,34,0.0078,1,.,0
Docile,34,0.0061,1,.,1
Docile,34,0.0066,1,.,0
